Date,Wake,Sleep
,6:30 AM,10:00:00 P
2020-01-01,10:00 AM,11:00 PM
2020-01-02,6:00 AM,10:25 PM
2020-01-03,8:00 AM,10:15 PM
2020-01-04,8:00 AM,10:00 PM
2020-01-05,9:30 AM,11:00 PM
2020-01-06,8:30 AM,11:00 PM
2020-01-07,8:00 AM,12:30 AM
2020-01-08,8:57 AM,11:00 PM
2020-01-09,5:39 AM,12:15 AM
2020-01-10,6:28 AM,11:13 PM
2020-01-11,5:31 AM,11:45 PM
2020-01-12,8:00 AM,11:45 PM
2020-01-13,7:40 AM,11:57 PM
2020-01-14,8:10 AM,11:45 PM
2020-01-15,6:25 AM,11:00 PM
2020-01-16,6:15 AM,12:40 AM
2020-01-17,7:25 AM,11:00 PM
2020-01-18,6:00 AM,1:00 AM
2020-01-19,7:30 AM,11:00 PM
2020-01-20,8:30 AM,1:00 AM
2020-01-21,6:51 AM,12:30 AM
2020-01-22,7:10 AM,10:41 PM
2020-01-23,6:25 AM,12:45 AM
2020-01-24,7:15 AM,11:00 PM
2020-01-25,5:50 AM,11:30 PM
2020-01-26,8:00 AM,12:15 AM
2020-01-27,7:15 AM,12:13 AM
2020-01-28,7:20 AM,12:00 AM
2020-01-29,7:20 AM,1:30 AM
2020-01-30,7:30 AM,1:30 AM
2020-01-31,9:00 AM,10:00 PM
2020-02-01,5:30 AM,2:30 AM
2020-02-02,10:00 AM,12:00 AM
2020-02-03,6:30 AM,11:15 PM
2020-02-04,6:40 AM,10:30 PM
2020-02-05,5:45 AM,12:00 AM
2020-02-06,6:30 AM,11:30 PM
2020-02-07,5:15 AM,9:00 PM
2020-02-08,9:00 AM,11:00 PM
2020-02-09,9:00 AM,12:00 AM
2020-02-10,6:00 AM,10:20 PM
2020-02-11,7:15 AM,12:01 AM
2020-02-12,7:15 AM,10:55 PM
2020-02-13,7:09 AM,12:00 AM
2020-02-14,6:30 AM,11:30 PM
2020-02-15,6:00 AM,10:00 PM
2020-02-16,6:00 AM,10:00 PM
2020-02-17,6:00 AM,10:11 PM
2020-02-18,7:20 AM,1:00 AM
2020-02-19,7:15 AM,11:45 PM
2020-02-20,7:25 AM,11:51 PM
2020-02-21,6:00 AM,11:30 PM
2020-02-22,4:00 AM,1:00 AM
2020-02-23,8:15 AM,10:42 PM
2020-02-24,8:00 AM,10:45 PM
2020-02-25,6:45 AM,10:45 PM
2020-02-26,10:00 AM,9:00 PM
2020-02-27,9:00 AM,10:30 PM
2020-02-28,7:30 AM,11:00 PM
2020-02-29,5:45 AM,11:30 PM
2020-03-01,6:00 AM,12:30 AM
2020-03-02,7:15 AM,10:45 PM
2020-03-03,7:15 AM,11:15 PM
2020-03-04,6:10 AM,11:45 PM
2020-03-05,9:20 AM,11:15 PM
2020-03-06,7:20 AM,11:00 PM
2020-03-07,5:20 AM,11:45 PM
2020-03-08,10:30 AM,1:05 AM
2020-03-09,5:30 AM,1:11 AM
2020-03-10,7:50 AM,12:38 AM
2020-03-11,9:36 AM,11:20 PM
2020-03-12,6:50 AM,11:30 PM
2020-03-13,10:00 AM,2:00 AM
2020-03-14,11:30 AM,3:00 AM
2020-03-15,10:30 AM,12:47 AM
2020-03-16,6:26 AM,12:03 AM
2020-03-17,8:40 AM,12:55 AM
